family,method,run,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_prediction_mean
permutation,permuted_llm_a1p25,12,2.6477367909317038,3.885539730985206,-0.6464256492726019,0.12589914695479065,3.1854880329073545
permutation,permuted_gated_a1_d0p15,12,2.5825270811813,3.678922661627778,0.013956151914850196,0.2163896705532492,3.845869834094806
permutation,permuted_llm_a1p25,13,2.6316123204670054,3.8769137135114065,-0.6512580144819532,0.12977590036755227,3.1806556676980033
permutation,permuted_gated_a1_d0p15,13,2.5771929773419524,3.680951287215488,0.01824873265448594,0.21552523800436563,3.850162414834442
permutation,permuted_llm_a1p25,14,2.664916114697849,3.9062734781714274,-0.6389065276023806,0.11654562505700217,3.1930071545775753
permutation,permuted_gated_a1_d0p15,14,2.587506653943127,3.6911056927592756,0.02570984886256082,0.2111911071098076,3.8576235310425164
permutation,permuted_llm_a1p25,15,2.6644609300549997,3.9058037894528375,-0.6328441339528059,0.11675806466677174,3.19906954822715
permutation,permuted_gated_a1_d0p15,15,2.6019274509987684,3.708406290296119,0.03796278252763745,0.20377931862768228,3.8698764647075934
permutation,permuted_llm_a1p25,16,2.641391044551347,3.8978497862419714,-0.641076339253234,0.12035177095430105,3.190837342926722
permutation,permuted_gated_a1_d0p15,16,2.5833281069506544,3.6862916192674096,0.022011294118678835,0.21324735147372076,3.8539249762986345
permutation,permuted_llm_a1p25,17,2.6418169445022737,3.8777574014173624,-0.6460539920730188,0.1293971055374099,3.1858596901069376
permutation,permuted_gated_a1_d0p15,17,2.5684470498969962,3.660126381329573,0.014204421496258604,0.22437642879270214,3.8461181036762144
permutation,permuted_llm_a1p25,18,2.6405055840655263,3.8922801039496164,-0.6353000844578855,0.12286385379823217,3.1966135977220707
permutation,permuted_gated_a1_d0p15,18,2.5812762395010305,3.696475987999846,0.03066554500886809,0.2088941161080582,3.862579227188824
permutation,permuted_llm_a1p25,19,2.671267227185108,3.9305267980485152,-0.6562427509379575,0.1055411632038381,3.1756709312419984
permutation,permuted_gated_a1_d0p15,19,2.594637148710987,3.7029538194271776,0.011767252913468812,0.2061189643795147,3.843680935093425
permutation,permuted_llm_a1p25,20,2.6619158353594052,3.8812074243964085,-0.6476393113465871,0.12784727359846926,3.184274370833369
permutation,permuted_gated_a1_d0p15,20,2.5946990427354377,3.683856001644608,0.016132754451843694,0.21428665913856926,3.8480464366317997
permutation,permuted_llm_a1p25,21,2.6560912880013374,3.8860389971016995,-0.6418209188924101,0.12567450018426773,3.1900927632875464
permutation,permuted_gated_a1_d0p15,21,2.5923348156673214,3.6972536866461634,0.018284392644070238,0.2085612008140706,3.8501980748240263
permutation,permuted_llm_a1p25,22,2.646253166564209,3.892029821530796,-0.6509146907562546,0.12297665384974399,3.180998991423701
permutation,permuted_gated_a1_d0p15,22,2.583033477028896,3.6896609913343537,0.011991561457143066,0.21180846700549405,3.8439052436370993
permutation,permuted_llm_a1p25,23,2.6385506939751053,3.8741266274408943,-0.6439105325222703,0.13102664663003605,3.1880031496576855
permutation,permuted_gated_a1_d0p15,23,2.582182557920684,3.684486142157113,0.020471603894319162,0.21401783638736716,3.8523852860742753
permutation,permuted_llm_a1p25,24,2.662124833217433,3.8905237598862232,-0.6569467269066084,0.12365526923810954,3.1749669552733475
permutation,permuted_gated_a1_d0p15,24,2.5809689420898896,3.6759395582410015,-0.0015426156581133399,0.2176599570525154,3.830371066521843
permutation,permuted_llm_a1p25,25,2.6362254046886364,3.8899199111751614,-0.6572876045184948,0.1239272832916164,3.174626077661461
permutation,permuted_gated_a1_d0p15,25,2.5816402320279104,3.7052911849500534,0.013070789457675461,0.20511642646411132,3.8449844716376314
permutation,permuted_llm_a1p25,26,2.6336235716921625,3.877317629126135,-0.6595094719534423,0.12959456261362534,3.1724042102265133
permutation,permuted_gated_a1_d0p15,26,2.5702803722027423,3.6803507521494905,0.0008889011685039989,0.21578118606595686,3.83280258334846
permutation,permuted_llm_a1p25,27,2.649380276005404,3.8604107847585105,-0.6201786317003203,0.13716872955372827,3.2117350504796356
permutation,permuted_gated_a1_d0p15,27,2.5781269117174546,3.6704449424011263,0.036843922198710403,0.2199970168499048,3.868757604378666
permutation,permuted_llm_a1p25,28,2.6304209229826916,3.8731985070967796,-0.654779743552299,0.13144295477776502,3.177133938627657
permutation,permuted_gated_a1_d0p15,28,2.563235390441252,3.6656313221965298,0.007863604165731834,0.22204155159180716,3.8397772863456874
permutation,permuted_llm_a1p25,29,2.6529851848605635,3.893233046398749,-0.6440487758224553,0.1224343047594113,3.1878649063575004
permutation,permuted_gated_a1_d0p15,29,2.5930496420444977,3.694413989370312,0.02316928903386699,0.2097764723156854,3.8550829712138226
permutation,permuted_llm_a1p25,30,2.654923498918404,3.886887333738785,-0.6314148576736907,0.12529272155819282,3.200498824506265
permutation,permuted_gated_a1_d0p15,30,2.5818297556019467,3.681007103518548,0.024127000744238677,0.21550144697339502,3.856040682924195
permutation,permuted_llm_a1p25,31,2.6648589836100025,3.927716056921924,-0.6504976317223099,0.10681997057355042,3.1814160504576456
