subgroup_column,subgroup_value,method,rows,weight_sum,weighted_mae,weighted_bias
HHFAMINC,8,llm_trip_suppression_a1p25,890,12256706.34625848,2.7781529206661837,-0.6810153532205432
HHFAMINC,8,gated_trip_suppression_a1_d0p15,890,12256706.34625848,2.7689977088255127,-0.3648449986952827
HHFAMINC,9,historical_mean_only,611,8490208.346397549,4.732024451708185,2.9479719650841205
HHFAMINC,9,historical_xgboost,611,8490208.346397549,4.381698529696394,3.359278017194345
HHFAMINC,9,llm_only_trip_suppression_a1p25,611,8490208.346397549,3.2219778054450257,-1.188224471105161
HHFAMINC,9,global_trip_suppression_a1p25,611,8490208.346397549,3.0451311444236575,-1.7577758360815199
HHFAMINC,9,llm_trip_suppression_a1p25,611,8490208.346397549,2.898263300378282,-0.8845610969564917
HHFAMINC,9,gated_trip_suppression_a1_d0p15,611,8490208.346397549,2.8528739928168996,-0.7347123118598886
HHFAMINC,10,historical_mean_only,593,9895359.59758039,4.776329622282582,2.975551072522115
HHFAMINC,10,historical_xgboost,593,9895359.59758039,4.675380274305842,3.532049748150149
HHFAMINC,10,llm_only_trip_suppression_a1p25,593,9895359.59758039,3.249403634146624,-1.1972764800598679
HHFAMINC,10,global_trip_suppression_a1p25,593,9895359.59758039,3.1047413020834793,-1.669984446501039
HHFAMINC,10,llm_trip_suppression_a1p25,593,9895359.59758039,3.0434121602225503,-0.8185070353362504
HHFAMINC,10,gated_trip_suppression_a1_d0p15,593,9895359.59758039,2.9951329693793713,-0.6122787241917323
HHFAMINC,11,historical_mean_only,806,12741223.017888635,4.724813271499117,2.8747680565367846
HHFAMINC,11,historical_xgboost,806,12741223.017888635,4.6388747368674474,3.516130758751933
HHFAMINC,11,llm_only_trip_suppression_a1p25,806,12741223.017888635,3.4336693093855892,-1.1077182546732596
HHFAMINC,11,global_trip_suppression_a1p25,806,12741223.017888635,3.18584619904094,-1.7355738239336225
HHFAMINC,11,llm_trip_suppression_a1p25,806,12741223.017888635,3.131846176918533,-0.7009387955721785
HHFAMINC,11,gated_trip_suppression_a1_d0p15,806,12741223.017888635,3.0856471819442577,-0.5514760804795884
CENSUS_R,1,historical_mean_only,1363,22465587.35554148,5.547090018011152,4.550135188431431
CENSUS_R,1,historical_xgboost,1363,22465587.35554148,4.128547263733302,3.366626452054733
CENSUS_R,1,llm_only_trip_suppression_a1p25,1363,22465587.35554148,2.68278237180492,-0.5094530797673443
CENSUS_R,1,global_trip_suppression_a1p25,1363,22465587.35554148,2.459338807560631,-0.8169922040851877
CENSUS_R,1,llm_trip_suppression_a1p25,1363,22465587.35554148,2.4287880784430502,-0.7316699068237379
CENSUS_R,1,gated_trip_suppression_a1_d0p15,1363,22465587.35554148,2.4160301702602545,-0.21607469237335683
CENSUS_R,2,historical_mean_only,1861,27691062.214524657,5.451095486828035,4.450395116271753
CENSUS_R,2,historical_xgboost,1861,27691062.214524657,4.366539726269556,3.6356875659486194
CENSUS_R,2,llm_only_trip_suppression_a1p25,1861,27691062.214524657,2.712119274518916,-0.3223400378620039
CENSUS_R,2,global_trip_suppression_a1p25,1861,27691062.214524657,2.5192329132206277,-0.7637881353435391
CENSUS_R,2,llm_trip_suppression_a1p25,1861,27691062.214524657,2.469471662020222,-0.500126285285463
CENSUS_R,2,gated_trip_suppression_a1_d0p15,1861,27691062.214524657,2.4970493677183927,0.016308611191168002
CENSUS_R,3,historical_mean_only,2915,48773694.938607365,5.621802323872556,4.6445587248219296
CENSUS_R,3,historical_xgboost,2915,48773694.938607365,4.497141462828198,3.781757732796926
CENSUS_R,3,llm_only_trip_suppression_a1p25,2915,48773694.938607365,2.689255259931806,-0.3178350170794387
CENSUS_R,3,global_trip_suppression_a1p25,2915,48773694.938607365,2.5028654787369247,-0.5895691755695528
CENSUS_R,3,llm_trip_suppression_a1p25,2915,48773694.938607365,2.512663327674426,-0.44479192925217187
CENSUS_R,3,gated_trip_suppression_a1_d0p15,2915,48773694.938607365,2.5360360966380484,0.13669524497153665
CENSUS_R,4,historical_mean_only,1754,28614362.491326496,5.354640801974052,4.259966986605212
CENSUS_R,4,historical_xgboost,1754,28614362.491326496,4.202172596734363,3.461985590916318
CENSUS_R,4,llm_only_trip_suppression_a1p25,1754,28614362.491326496,2.7981677293105385,-0.410031605808208
CENSUS_R,4,global_trip_suppression_a1p25,1754,28614362.491326496,2.6079684152875044,-0.9472798248687377
CENSUS_R,4,llm_trip_suppression_a1p25,1754,28614362.491326496,2.4835113523244794,-0.5921536098735811
CENSUS_R,4,gated_trip_suppression_a1_d0p15,1754,28614362.491326496,2.5175193438717924,-0.18182708283998328
HHSIZE,1,historical_mean_only,2271,36408704.97134426,6.593990621997551,6.5667238550302836
HHSIZE,1,historical_xgboost,2271,36408704.97134426,2.3459737156676757,1.9712489257273695
HHSIZE,1,llm_only_trip_suppression_a1p25,2271,36408704.97134426,1.7603933189161045,0.9456371393541426
HHSIZE,1,global_trip_suppression_a1p25,2271,36408704.97134426,1.3771946945682425,-0.21536709480438615
HHSIZE,1,llm_trip_suppression_a1p25,2271,36408704.97134426,1.351495884193624,-0.48561173438627436
HHSIZE,1,gated_trip_suppression_a1_d0p15,2271,36408704.97134426,1.3516452866945134,0.02475895969184513
