method,sample_size,seed,leaf,calibrated_leaf_value
llm_rule_small_hist_calibrated_n50,50,20265625,multi_worker_multi_vehicle,13.060952715912208
llm_rule_small_hist_calibrated_n50,50,20265625,nonworker_other,9.450485086389888
llm_rule_small_hist_calibrated_n50,50,20265625,urban_nonworker,9.363054269465989
llm_rule_small_hist_calibrated_n50,50,20265625,worker_vehicle_household,10.9953035190875
llm_rule_small_hist_calibrated_n50,50,20265626,carless_worker,8.15804897407241
llm_rule_small_hist_calibrated_n50,50,20265626,large_low_vehicle,8.586620402643838
llm_rule_small_hist_calibrated_n50,50,20265626,large_multi_vehicle,11.146523718363314
llm_rule_small_hist_calibrated_n50,50,20265626,multi_worker_multi_vehicle,8.671518133609723
llm_rule_small_hist_calibrated_n50,50,20265626,nonworker_other,7.141349303396719
llm_rule_small_hist_calibrated_n50,50,20265626,urban_nonworker,7.335424437248383
llm_rule_small_hist_calibrated_n50,50,20265626,worker_vehicle_household,8.077217644214192
llm_rule_small_hist_calibrated_n50,50,20265627,carless_nonworker,8.079953393300958
llm_rule_small_hist_calibrated_n50,50,20265627,large_low_vehicle,8.03233434568191
llm_rule_small_hist_calibrated_n50,50,20265627,large_multi_vehicle,11.522804045123069
llm_rule_small_hist_calibrated_n50,50,20265627,multi_worker_multi_vehicle,8.090360070790567
llm_rule_small_hist_calibrated_n50,50,20265627,nonworker_other,6.472325720661514
llm_rule_small_hist_calibrated_n50,50,20265627,urban_nonworker,8.592752779777127
llm_rule_small_hist_calibrated_n50,50,20265627,worker_vehicle_household,6.063716356939749
llm_rule_small_hist_calibrated_n50,50,20265628,carless_nonworker,7.361478104623292
llm_rule_small_hist_calibrated_n50,50,20265628,carless_worker,7.797268679475589
llm_rule_small_hist_calibrated_n50,50,20265628,large_low_vehicle,8.273459155666066
llm_rule_small_hist_calibrated_n50,50,20265628,large_multi_vehicle,7.971832411532466
llm_rule_small_hist_calibrated_n50,50,20265628,multi_worker_multi_vehicle,8.481662573599424
llm_rule_small_hist_calibrated_n50,50,20265628,nonworker_other,5.957077167512241
llm_rule_small_hist_calibrated_n50,50,20265628,urban_nonworker,7.110886527179641
llm_rule_small_hist_calibrated_n50,50,20265628,worker_vehicle_household,7.520605191953379
llm_rule_small_hist_calibrated_n50,50,20265629,carless_nonworker,5.510043669248347
llm_rule_small_hist_calibrated_n50,50,20265629,carless_worker,6.196247901409889
llm_rule_small_hist_calibrated_n50,50,20265629,large_low_vehicle,6.297484795591794
llm_rule_small_hist_calibrated_n50,50,20265629,large_multi_vehicle,6.410200834393018
llm_rule_small_hist_calibrated_n50,50,20265629,multi_worker_multi_vehicle,8.808019100073444
llm_rule_small_hist_calibrated_n50,50,20265629,nonworker_other,6.3986604319495735
llm_rule_small_hist_calibrated_n50,50,20265629,urban_nonworker,6.39316513594179
llm_rule_small_hist_calibrated_n50,50,20265629,worker_vehicle_household,5.4691284395347886
llm_rule_small_hist_calibrated_n100,100,20270610,carless_nonworker,5.789211268925187
llm_rule_small_hist_calibrated_n100,100,20270610,carless_worker,6.901955735914499
llm_rule_small_hist_calibrated_n100,100,20270610,large_low_vehicle,6.991372489146641
llm_rule_small_hist_calibrated_n100,100,20270610,large_multi_vehicle,5.100889006849854
llm_rule_small_hist_calibrated_n100,100,20270610,multi_worker_multi_vehicle,8.193084511359505
llm_rule_small_hist_calibrated_n100,100,20270610,nonworker_other,7.109998412479058
llm_rule_small_hist_calibrated_n100,100,20270610,urban_nonworker,5.417912813391233
llm_rule_small_hist_calibrated_n100,100,20270610,worker_vehicle_household,6.096609498964448
llm_rule_small_hist_calibrated_n100,100,20270611,carless_nonworker,9.98352431373721
llm_rule_small_hist_calibrated_n100,100,20270611,large_multi_vehicle,15.34783666699515
llm_rule_small_hist_calibrated_n100,100,20270611,multi_worker_multi_vehicle,13.033265134361175
