method,sample_size,seed,calibration_rows,event_alpha,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_prediction_mean,exact_rounded_accuracy,within_2_trips,within_3_trips,weighted_within_2_trips,weighted_within_3_trips
llm_rule_small_hist_calibrated_n250,250,20285613,250,1.0,2.9376873696996952,3.9578916664692954,0.9570247492715128,0.09304311656334019,4.78893843145147,0.1064234131508932,0.4454580007601672,0.647915874825795,0.43016297028295425,0.6415954447234646
llm_rule_small_hist_calibrated_n250,250,20285614,250,1.0,2.631281862541333,3.7741134793444093,-0.07977679302983783,0.1753137674632318,3.7521368891501186,0.12517420499176485,0.5098188268085645,0.68237678956037,0.5068040894386961,0.6849157266902692
llm_rule_small_hist_calibrated_n250,250,20285615,250,1.0,2.785925197508991,3.8386235306272187,0.34876363161851454,0.1468804817009115,4.180677313798471,0.1113645001900418,0.44393766628658304,0.6522234891676169,0.4423564254441741,0.6537023543558851
llm_rule_small_hist_calibrated_n250,250,20285616,250,1.0,2.718343200028846,3.766317273426205,0.3451993444267746,0.17871736572538155,4.1771130266067305,0.12568098314962625,0.48169263904725707,0.6713543646268846,0.47568450671906554,0.6686235600153081
llm_rule_small_hist_calibrated_n250,250,20285617,250,1.0,3.1401710523838546,4.086203478578472,1.4664793695489535,0.03328420578783253,5.298393051728909,0.09261370834917015,0.38008361839604715,0.5987583935132396,0.36395219144802654,0.5932698922206593
llm_rule_small_hist_calibrated_n250,250,20285618,250,1.0,2.9296568481947265,3.9604052922457975,0.8259975298875947,0.09189074842482503,4.6579112120675505,0.11098441657164576,0.43481565944507794,0.6577980489040922,0.42629405186877817,0.6487591400582893
llm_rule_small_hist_calibrated_n250,250,20285619,250,1.0,2.797855430652594,3.817447360813927,0.6469895288558409,0.15626716559679787,4.478903211035798,0.1265678449258837,0.4637020144431775,0.6526035727860129,0.4580779173752625,0.6499846293464486
llm_rule_small_hist_calibrated_n250,250,20285620,250,1.0,2.690627545619585,3.771860912957113,0.21417971185024579,0.17629789585712907,4.046093394030202,0.12302039782085392,0.48992778411250476,0.6762954516660332,0.4815598597636862,0.6800393959184774
llm_rule_small_hist_calibrated_n250,250,20285621,250,1.0,2.805986455344172,3.8104550715765724,0.590655089599162,0.15935520867333197,4.422568771779118,0.11288483466362599,0.46382870898264283,0.6513366273913594,0.4549195036411451,0.6478946878773278
llm_rule_small_hist_calibrated_n250,250,20285622,250,1.0,3.2092990288419774,4.252646470686223,1.5365004128647695,-0.04707405142994525,5.368414095044725,0.10211579880907133,0.40668947168377045,0.5920435829215761,0.3876785179353844,0.5827804109322197
