year,package,table_name,column_name,column_index
2001,ascii,HHPUB,HTPPOPDN,178
2001,ascii,HHPUB,HTHRESDN,179
2001,ascii,HHPUB,HBPPOPDN,180
2001,ascii,HHPUB,HBHRESDN,181
2001,ascii,HHPUB,HBHTNRNT,182
2001,ascii,HHPUB,HTEEMPDN,183
2001,ascii,HHPUB,HTHTNRNT,184
2001,ascii,HHPUB,ENDTRAV,185
2001,ascii,HHPUB,BEGTRAV,186
2001,ascii,HHPUB,MSAPOP,187
2001,ascii,LDTPUB,HOUSEID,0
2001,ascii,LDTPUB,PERSONID,1
2001,ascii,LDTPUB,TPTRPNUM,2
2001,ascii,LDTPUB,TPCASEID,3
2001,ascii,LDTPUB,ONTP_P1,4
2001,ascii,LDTPUB,ONTP_P2,5
2001,ascii,LDTPUB,ONTP_P3,6
2001,ascii,LDTPUB,ONTP_P4,7
2001,ascii,LDTPUB,ONTP_P5,8
2001,ascii,LDTPUB,ONTP_P6,9
2001,ascii,LDTPUB,ONTP_P7,10
2001,ascii,LDTPUB,ONTP_P8,11
2001,ascii,LDTPUB,ONTP_P9,12
2001,ascii,LDTPUB,ONTP_P10,13
2001,ascii,LDTPUB,ONTP_P11,14
2001,ascii,LDTPUB,ONTP_P12,15
2001,ascii,LDTPUB,ONTP_P13,16
2001,ascii,LDTPUB,ONTP_P14,17
2001,ascii,LDTPUB,BEGTRAV,18
2001,ascii,LDTPUB,ENDTRAV,19
2001,ascii,LDTPUB,ACCMODE1,20
2001,ascii,LDTPUB,ACCMODE2,21
2001,ascii,LDTPUB,ACCMODE3,22
2001,ascii,LDTPUB,EGRMODE1,23
2001,ascii,LDTPUB,EGRMODE2,24
2001,ascii,LDTPUB,EGRMODE3,25
2001,ascii,LDTPUB,FARREAS1,26
2001,ascii,LDTPUB,FARREAS2,27
2001,ascii,LDTPUB,FARREAS3,28
2001,ascii,LDTPUB,FARREAS4,29
2001,ascii,LDTPUB,FARREA21,30
2001,ascii,LDTPUB,HHMDRV,31
2001,ascii,LDTPUB,RETMODE,32
2001,ascii,LDTPUB,FARSTOP,33
2001,ascii,LDTPUB,RETSTOP,34
2001,ascii,LDTPUB,LVEMNT,35
2001,ascii,LDTPUB,RETMNT,36
2001,ascii,LDTPUB,RECURR,37
2001,ascii,LDTPUB,COMMUTE,38
2001,ascii,LDTPUB,MAINMOD2,39
2001,ascii,LDTPUB,MAINMODE,40
2001,ascii,LDTPUB,RETMOD2,41
2001,ascii,LDTPUB,TPBOA911,42
2001,ascii,LDTPUB,LVEYR,43
2001,ascii,LDTPUB,RETYR,44
2001,ascii,LDTPUB,BEGTRIP,45
