domain,column_name,year_count,years
long_distance,ONTP_P9,2,2001;2022
long_distance,PERSONID,2,2001;2022
long_distance,PRMACT,1,2001
long_distance,PROXCAT,1,2001
long_distance,PROXY,2,2001;2022
long_distance,RAIL,2,2001;2022
long_distance,RATIO16W,1,2001
long_distance,RATIOWV,1,2001
long_distance,RECURR,1,2001
long_distance,RETMNT,1,2001
long_distance,RETMOD2,1,2001
long_distance,RETMODE,1,2001
long_distance,RETSTOP,1,2001
long_distance,RETYR,1,2001
long_distance,RTETOT,1,2001
long_distance,R_AGE,2,2001;2022
long_distance,R_AGEWGT,1,2001
long_distance,R_HISP,1,2022
long_distance,R_RACE,1,2022
long_distance,R_RELAT,1,2001
long_distance,R_SEX,2,2001;2022
long_distance,R_SEX_IMP,1,2022
long_distance,SMPLAREA,1,2001
long_distance,STPS_FRM,1,2001
long_distance,STPS_TO,1,2001
long_distance,STRATUMID,1,2022
long_distance,TDAYDATE,2,2001;2022
long_distance,TPBOA911,1,2001
long_distance,TPCASEID,1,2001
long_distance,TPDRVFLG,1,2001
long_distance,TPMSDTRP,1,2001
long_distance,TPNUMTRP,1,2001
long_distance,TPRECURR,1,2001
long_distance,TPTRPNUM,1,2001
long_distance,TRAVDAY,1,2022
long_distance,URBAN,2,2001;2022
long_distance,URBANSIZE,1,2022
long_distance,URBRUR,2,2001;2022
long_distance,WEEKEND,2,2001;2022
long_distance,WORKER,2,2001;2022
long_distance,WRKCOUNT,2,2001;2022
long_distance,WTPERFIN,1,2022
long_distance,WTPERFIN2D,1,2022
long_distance,WTPERFIN5D,1,2022
long_distance,WTPTPFIN,1,2001
person,AGERANGE,1,2001
person,ALT_16,1,2017
person,ALT_23,1,2017
person,ALT_45,1,2017
person,BEGTRAV,1,2001
person,BIKE4EX,1,2017
person,BIKESHARE,1,2017
person,BIKESHARE22,1,2022
person,BIKETRANSIT,1,2022
person,BIKE_DFR,1,2017
person,BIKE_GKP,1,2017
person,BORNINUS,3,2001;2009;2017
person,CARRODE,3,2001;2009;2017
person,CARSHARE,1,2017
person,CDIVMSAR,4,2001;2009;2017;2022
