method,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,runs,abs_weighted_bias,method_family,llm_request_cost,llm_request_cost_norm,performance_pareto,deployment_pareto,weighted_mae_ci_width,weighted_mae_bootstrap_std,uncertainty_covered,weighted_mae_ci_width_for_selection,uncertainty_pareto
llm_recovery_pressure_a0p75,2.909162677181709,3.834090617151901,1.2357236857846334,0.1243655263594752,3.0775625361823047,4.01613433441764,1.5618198202435225,0.066153925075399,1,1.5618198202435225,llm_event_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
random_recovery_pressure_a0p75,2.9024712264678953,3.82696550387645,1.2437229285022762,0.1276128094656762,3.084663557594339,4.017668869480345,1.5953724755139131,0.06543042625086616,5,1.5953724755139131,negative_control,0,0.0,False,False,,,False,0.20841925298013841,False
gated_trip_suppression_a0p5_d0p15,2.977498417019627,3.8849338108473854,1.4561769239810431,0.1009882805519643,3.156505241663344,4.07703882235081,1.7910728505249631,0.037615699638093,1,1.7910728505249631,gated_llm_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
llm_confidence_pressure_a1,2.996178686556197,3.911090752352646,1.437385621290564,0.0888415816742755,3.1854195642549343,4.116896024762274,1.779489999388682,0.0187071527689154,1,1.779489999388682,llm_event_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
gated_trip_suppression_a0p5_d0p1,3.015159101365056,3.925673703132627,1.5343506799252344,0.0820341967436768,3.1955544569301404,4.120627364074898,1.871070039082479,0.0169275616066924,1,1.871070039082479,gated_llm_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
global_trip_suppression_a0p5,3.00743010115836,3.908227397558296,1.5027755572930417,0.090175232546712,3.2093195011680176,4.123848343331366,1.864028931866208,0.0153900804336342,1,1.864028931866208,global_event_prior,1,0.011235955056179775,False,False,,,False,0.20841925298013841,False
gated_trip_suppression_a0p5_d0p05,3.032203276266164,3.942621410319053,1.5749599592929755,0.0740911028248105,3.2140592606789604,4.142445578237077,1.9097344044935805,0.0064895056024563,1,1.9097344044935805,gated_llm_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
llm_trip_suppression_a0p5,3.0495619141129686,3.958499470311388,1.612460702191767,0.0666182874947832,3.233540220715998,4.160851867104401,1.9463162072694271,-0.002359116845906,1,1.9463162072694271,llm_event_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
global_recovery_pressure_a0p5,3.1918310189009667,4.084982454704662,1.8669353986432975,0.0060180536770922,3.4255376861373064,4.340375350231115,2.245344178230532,-0.0907203413481398,1,2.245344178230532,global_event_prior,1,0.011235955056179775,False,False,,,False,0.20841925298013841,False
llm_confidence_pressure_a0p75,3.20359418376557,4.104716791503561,1.8694381246300364,-0.003608893623926,3.4313773565687296,4.357206080983744,2.2359134268251792,-0.0991957434508852,1,2.2359134268251792,llm_event_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
llm_recovery_pressure_a0p5,3.2063898230755847,4.107303725955195,1.8790143354059068,-0.0048743103064872,3.4325558624203403,4.358883873494813,2.242941116540571,-0.1000424224565779,1,2.242941116540571,llm_event_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
llm_only_trip_suppression_a0p75,3.422108064384657,4.258870141927658,1.537231551225242,-0.0804057864533644,3.462721691774288,4.299538754622393,1.5736988024908316,-0.0702927204191683,1,1.5736988024908316,llm_only_prior,89,1.0,False,False,,,False,0.20841925298013841,False
gated_trip_suppression_a0p25_d0p15,3.4422554273784547,4.3400266821887135,2.310886279314748,-0.1219742878522525,3.702632620405741,4.630809256501229,2.6981282798298167,-0.2415740339867575,1,2.6981282798298167,gated_llm_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
llm_confidence_pressure_a0p5,3.445520046833644,4.344200156586953,2.301490627969509,-0.1241331604704563,3.710482472926517,4.64229200771402,2.6923368542616752,-0.2477389873223237,1,2.6923368542616752,llm_event_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
gated_trip_suppression_a0p25_d0p1,3.4655582694482563,4.3674230669796215,2.3499731572868443,-0.1361839037790446,3.726422988339385,4.659150253556038,2.7381268741085747,-0.2568176423320143,1,2.7381268741085747,gated_llm_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
global_trip_suppression_a0p25,3.4593509500474195,4.355331744121112,2.334185595970747,-0.1299015037273281,3.732236128894367,4.659531770554442,2.734606320500438,-0.2570234811224774,1,2.734606320500438,global_event_prior,1,0.011235955056179775,False,False,,,False,0.20841925298013841,False
gated_trip_suppression_a0p25_d0p05,3.4769846815252747,4.38009771807348,2.370277796970714,-0.1427880868157869,3.7386457529894,4.673599315535689,2.757459056814125,-0.2646250723860484,1,2.757459056814125,gated_llm_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
llm_trip_suppression_a0p25,3.487991477827088,4.391357225000235,2.3890281684201105,-0.1486709549618987,3.750320120530385,4.685755563226898,2.7757499582020486,-0.271212324584223,1,2.7757499582020486,llm_event_adapter,89,1.0,False,False,,,False,0.20841925298013841,False
global_recovery_pressure_a0p25,3.572729315972621,4.472231470490659,2.516265516645876,-0.1913699783735973,3.859426558159534,4.794691055100345,2.9252639436826,-0.3310062453613349,1,2.9252639436826,global_event_prior,1,0.011235955056179775,False,False,,,False,0.20841925298013841,False
