method,seed,calibration_fraction,calibration_rows,test_rows,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_target_mean,weighted_prediction_mean,device,calibration_label
residual_llm_only,45,0.1,789,7104,2.858929313266197,4.025701128701815,-0.164066171844129,0.0402160499205056,2.965217689525784,4.176576575744954,0.2437893584386025,-0.002526952919013,3.855859560479559,4.099648918918161,cuda,10%
residual_tabular_only,45,0.1,789,7104,2.601680594739748,3.735567382952153,-0.1797380778133063,0.1735747575498774,2.6605377351447723,3.81008994258444,0.0132363956212219,0.1656935204816982,3.855859560479559,3.869095956100781,cuda,10%
residual_tabular_plus_llm,45,0.1,789,7104,2.6050618794318794,3.729348327257755,-0.119592192037417,0.1763241692649935,2.660369557773911,3.799111648975351,0.0722031101656812,0.1704944915881916,3.855859560479559,3.92806267064524,cuda,10%
historical_xgboost,46,0.1,789,7104,4.019980407915674,4.958951869774785,3.170977729800585,-0.4523323643517158,4.3666313424963095,5.354570054358512,3.62507756527355,-0.6436010895322926,3.82472203287399,7.44979959814754,cuda,10%
bias_shift_calibration,46,0.1,789,7104,2.6956326172374188,3.8070319394312935,-0.2131583383072038,0.1440285689439467,2.7824772507283058,3.931468984690249,0.249367695560339,0.1139526755256935,3.82472203287399,4.07408972843433,cuda,10%
residual_llm_only,46,0.1,789,7104,2.8478715401310644,3.987813280262132,-0.0770288371556514,0.0608048098712871,2.945241567832685,4.121192034448645,0.4048374374324203,0.0263723156074504,3.82472203287399,4.229559470306411,cuda,10%
residual_tabular_only,46,0.1,789,7104,2.693795284961124,3.857951751492601,0.0744417195149638,0.1209778616303378,2.782759854626219,3.984432339238157,0.4102862015062858,0.0899188409895906,3.82472203287399,4.235008234380276,cuda,10%
residual_tabular_plus_llm,46,0.1,789,7104,2.6773267152073146,3.8426836189533953,0.0830608497264686,0.1279216857205907,2.760105881236468,3.955686679873084,0.4365733298415029,0.1030030206257721,3.82472203287399,4.261295362715494,cuda,10%
historical_xgboost,42,0.2,1579,6314,4.016277960595127,4.927881465896292,3.1694627489362444,-0.443001329168851,4.350151492318737,5.3144848080748375,3.611662151615224,-0.5934538851433151,3.873728681034857,7.48539083265008,cuda,20%
bias_shift_calibration,42,0.2,1579,6314,2.666030623950721,3.775443339326429,-0.359212072023566,0.1530024790817264,2.72610076714706,3.878672546047901,0.0903826071193697,0.1512429553643491,3.873728681034857,3.964111288154226,cuda,20%
