subgroup_column,subgroup_value,rows,weight_sum,abs_weighted_bias_cohort_trip_suppression_a1,abs_weighted_bias_global_trip_suppression_a1,abs_weighted_bias_global_trip_suppression_a1p25,abs_weighted_bias_historical_xgboost,abs_weighted_bias_primary_gated_adapter,weighted_bias_cohort_trip_suppression_a1,weighted_bias_global_trip_suppression_a1,weighted_bias_global_trip_suppression_a1p25,weighted_bias_historical_xgboost,weighted_bias_primary_gated_adapter,weighted_mae_cohort_trip_suppression_a1,weighted_mae_global_trip_suppression_a1,weighted_mae_global_trip_suppression_a1p25,weighted_mae_historical_xgboost,weighted_mae_primary_gated_adapter,weighted_rmse_cohort_trip_suppression_a1,weighted_rmse_global_trip_suppression_a1,weighted_rmse_global_trip_suppression_a1p25,weighted_rmse_historical_xgboost,weighted_rmse_primary_gated_adapter,primary_vs_history_mae_delta,primary_vs_global_a1_mae_delta,primary_vs_global_a1p25_mae_delta,cohort_a1_vs_global_a1_mae_delta,primary_vs_global_a1_abs_bias_delta,primary_beats_global_a1,primary_beats_global_a1p25
HHSIZE,3,967,19001129.40531972,0.36805540314140817,0.016556660121087263,1.0528189627941684,4.128492533114292,0.10790654786419708,0.36805540314140817,-0.016556660121087263,-1.0528189627941684,4.128492533114292,-0.10790654786419708,2.983541200076944,2.9626491420277516,2.938791414004285,5.071495992734984,2.9035998999209025,3.9974477260416617,4.020867444985953,4.175796438442326,5.759460549840801,4.002697123514047,2.167896092814081,0.05904924210684914,0.03519151408338228,-0.020892058049192475,-0.09134988774310981,True,True
HHSIZE,6,123,2635515.1905298526,1.4305309079897777,1.1780498999346962,0.45987698375845054,7.729757351573268,0.795127998286135,1.4305309079897777,1.1780498999346962,-0.45987698375845054,7.729757351573268,0.795127998286135,4.458109095606371,4.034890183623813,3.58363709976365,8.3778366433052,3.976006409659672,5.566545921006872,5.090160275138908,4.940552838185109,9.437028977622047,5.18545492022794,4.401830233645528,0.05888377396414102,-0.3923693098960217,-0.42321891198255823,0.3829219016485612,True,False
CENSUS_R,2,1861,27691062.214524657,0.3266439187159874,0.11610700249215836,0.7637881353435391,3.6356875659486194,0.016308611191168002,0.3266439187159874,0.11610700249215836,-0.7637881353435391,3.6356875659486194,0.016308611191168002,2.5687449368369286,2.5536166400215423,2.5192329132206277,4.366539726269556,2.4970493677183927,3.6206821710694066,3.6562654231525,3.765660260742098,5.38551695449052,3.6215022792681286,1.8694903585511633,0.05656727230314962,0.022183545502235003,-0.0151282968153863,0.09979839130099036,True,True
URBRUR,1,6306,102919309.81442939,0.19354040868246483,0.059619443452501295,0.8056167479448197,3.5205641976557436,0.1047166382122779,0.19354040868246483,0.059619443452501295,-0.8056167479448197,3.5205641976557436,-0.1047166382122779,2.5622169192871707,2.560873720344341,2.54344169975218,4.275256843505037,2.508761334705906,3.597330124041209,3.6232160018104502,3.7500612256307377,5.269357346957938,3.59871325139074,1.7664955087991312,0.05211238563843512,0.03468036504627392,-0.0013431989428296376,-0.04509719475977661,True,True
RAIL,2,6085,97262101.81941086,0.3171481184220875,0.166403681036562,0.7122035152966217,3.680832462735563,0.022611208608512044,0.3171481184220875,0.166403681036562,-0.7122035152966217,3.680832462735563,0.022611208608512044,2.5975367065658985,2.592036593633855,2.545818424950627,4.436994066057241,2.5411078324045695,3.695287521147404,3.717575122085623,3.8194095607916,5.448035433414492,3.691551157137315,1.8958862336526714,0.05092876122928569,0.004710592546057324,-0.005500112932043333,0.14379247242804996,True,True
RAIL,1,1808,30282605.18058914,0.19205970972317937,0.01693459453292036,0.8617217353525526,3.3622139668894455,0.16965481121374132,0.19205970972317937,-0.01693459453292036,-0.8617217353525526,3.3622139668894455,-0.16965481121374132,2.445575815070332,2.428017256697244,2.4468973452279696,4.018732497230875,2.377571516526743,3.323167812937854,3.3201145068514415,3.4871238175147523,4.872058947075485,3.306444938154041,1.6411609807041323,0.050445740170501185,0.06932582870122683,-0.01755855837308795,-0.15272021668082095,True,True
URBRUR,2,1587,24625397.18557062,0.6799287555637201,0.38724070456434634,0.5056596708217245,3.9588422370607996,0.3183294093000931,0.6799287555637201,0.38724070456434634,-0.5056596708217245,3.9588422370607996,0.3183294093000931,2.5582811549397935,2.5205790086705893,2.434105421359032,4.598609057904964,2.47519106947386,3.664570094087785,3.643556251741281,3.7143197350063573,5.511333845800079,3.6252076136085236,2.123417988431104,0.04538793919672912,-0.04108564811482829,-0.037702146269204206,0.06891129526425321,True,False
HHSIZE,1,2271,36408704.97134426,0.0037629510238772887,0.22195611026671383,0.21536709480438615,1.9712489257273695,0.02475895969184513,0.0037629510238772887,0.22195611026671383,-0.21536709480438615,1.9712489257273695,0.02475895969184513,1.368388106198946,1.395216280630126,1.3771946945682425,2.3459737156676757,1.3516452866945134,1.8030871525252645,1.8189755136644075,1.8257517232699665,2.677085422756555,1.7945092229481325,0.9943284289731622,0.04357099393561259,0.025549407873729058,0.02682817443118002,0.1971971505748687,True,True
HHFAMINC,3,467,8616666.685066657,0.1507829021296579,0.6538641332956843,0.039914517863931014,3.4289787103464517,0.3459375492488289,0.1507829021296579,0.6538641332956843,-0.039914517863931014,3.4289787103464517,0.3459375492488289,2.1828893302962356,2.1713611038869196,2.0048142477492377,3.9098364643281056,2.140112812945198,3.2239047376364205,3.094937321022181,3.0743098315396837,4.822928774670808,3.0963153957831455,1.7697236513829075,0.031248290941721546,-0.1352985651959604,-0.011528226409315945,0.30792658404685536,True,False
CENSUS_R,3,2915,48773694.938607365,0.3979143786026412,0.2846962081815025,0.5895691755695528,3.781757732796926,0.13669524497153665,0.3979143786026412,0.2846962081815025,-0.5895691755695528,3.781757732796926,0.13669524497153665,2.6061673902235265,2.5672030160977437,2.5028654787369247,4.497141462828198,2.5360360966380484,3.7177142109048065,3.6510442353618036,3.7184137781965276,5.492721177087491,3.6523628677592352,1.9611053661901496,0.031166919459695297,-0.033170617901123745,-0.0389643741257828,0.14800096320996584,True,False
WRKCOUNT,1,2790,45309376.45428127,0.3163571191694752,0.17071316516690163,0.6409156057292238,3.417228240043653,0.05302958400814557,0.3163571191694752,0.17071316516690163,-0.6409156057292238,3.417228240043653,0.05302958400814557,2.3612183226127943,2.3157607031431486,2.2479449691048607,4.081653120260532,2.285844825150669,3.3897491058458256,3.361828901148422,3.4369758919860938,5.01290066007254,3.339674279085721,1.7958082951098633,0.029915877992479523,-0.03789985604580837,-0.04545761946964566,0.11768358115875606,True,False
HHSIZE,2,3339,44750885.62745042,0.37155036061224544,0.18034484399476494,0.6313813484653186,3.427249614564765,0.08068894513463881,0.37155036061224544,0.18034484399476494,-0.6313813484653186,3.427249614564765,0.08068894513463881,2.36379849388891,2.323702772382297,2.289731058891626,4.0668189444367595,2.2983313942835335,3.037917333767929,3.0299649633490557,3.0972146414384563,4.571531132023727,3.021061118905013,1.768487550153226,0.025371378098763664,-0.008600335391907521,-0.04009572150661267,0.09965589886012613,True,False
HHFAMINC,4,552,9884379.583201796,0.5047912190653779,0.7826431102882849,0.02664441954101228,4.019793249970088,0.5517096130851066,0.5047912190653779,0.7826431102882849,-0.02664441954101228,4.019793249970088,0.5517096130851066,2.3756349115937128,2.3919300201806597,2.2093464155280786,4.468468762073294,2.3732570065124277,3.2906093628081274,3.221802424271336,3.0938788892806097,5.495768928180631,3.2529720205937998,2.0952117555608663,0.01867301366823204,-0.163910590984349,0.016295108586946938,0.23093349720317835,True,False
HHVEHCNT,3,1043,16859279.62179253,0.7410918557471181,0.23597325993526952,1.3475644141520648,4.210391336547058,0.155295267655519,0.7410918557471181,-0.23597325993526952,-1.3475644141520648,4.210391336547058,-0.155295267655519,3.416889976634678,3.2352643653428683,3.22162993168497,5.2973697938689055,3.221456033265956,4.5332884992585125,4.521497208966374,4.749627758988551,6.302912515779149,4.50345043089388,2.0759137606029494,0.013808332076912233,0.00017389841901405134,-0.18162561129180954,0.08067799227975053,True,True
HHFAMINC,6,1392,21252307.49957845,0.7131772925098748,0.5484898307752228,0.30289930961567313,3.9540463640721475,0.4682367553775738,0.7131772925098748,0.5484898307752228,-0.30289930961567313,3.9540463640721475,0.4682367553775738,2.4751913040418003,2.3828426019684423,2.271523795253691,4.425200856126517,2.3718215476882203,3.3071747111543623,3.198963102379633,3.158281832609384,5.376501250435739,3.1952516818938594,2.0533793084382963,0.011021054280222042,-0.10029775243452921,-0.09234870207335799,0.08025307539764903,True,False
HHVEHCNT,2,3199,48347256.666449025,0.3462073506372239,0.08313104375057417,1.059476118272716,3.8222492675269266,0.08144701138624956,0.3462073506372239,-0.08313104375057417,-1.059476118272716,3.8222492675269266,-0.08144701138624956,2.866683602532633,2.798938728943172,2.821749565990614,4.724655462296371,2.7894053027274657,3.9756088416824475,3.9820604051168123,4.155989030309248,5.646324851127876,3.9720438369100863,1.9352501595689056,0.00953342621570652,0.03234426326314832,-0.06774487358946102,0.0016840323643246141,True,True
