method,rows,weight_sum,weighted_mae,weighted_rmse,weighted_bias,abs_weighted_bias,weighted_target_mean,weighted_prediction_mean,subgroup_column,subgroup_value
global_trip_suppression_a1,6306,102919309.81442939,2.560873720344341,3.6232160018104502,0.059619443452501295,0.059619443452501295,3.870904830814246,3.9305242742667468,URBRUR,1
global_trip_suppression_a1p25,6306,102919309.81442939,2.54344169975218,3.7500612256307377,-0.8056167479448197,0.8056167479448197,3.870904830814246,3.0652880828694262,URBRUR,1
cohort_trip_suppression_a1,6306,102919309.81442939,2.5622169192871707,3.597330124041209,0.19354040868246483,0.19354040868246483,3.870904830814246,4.0644452394967105,URBRUR,1
primary_gated_adapter,6306,102919309.81442939,2.508761334705906,3.59871325139074,-0.1047166382122779,0.1047166382122779,3.870904830814246,3.7661881926019682,URBRUR,1
historical_xgboost,1587,24625397.18557062,4.598609057904964,5.511333845800079,3.9588422370607996,3.9588422370607996,3.668954194620326,7.627796431681124,URBRUR,2
global_trip_suppression_a1,1587,24625397.18557062,2.5205790086705893,3.643556251741281,0.38724070456434634,0.38724070456434634,3.668954194620326,4.056194899184671,URBRUR,2
global_trip_suppression_a1p25,1587,24625397.18557062,2.434105421359032,3.7143197350063573,-0.5056596708217245,0.5056596708217245,3.668954194620326,3.163294523798601,URBRUR,2
cohort_trip_suppression_a1,1587,24625397.18557062,2.5582811549397935,3.664570094087785,0.6799287555637201,0.6799287555637201,3.668954194620326,4.348882950184046,URBRUR,2
primary_gated_adapter,1587,24625397.18557062,2.47519106947386,3.6252076136085236,0.3183294093000931,0.3183294093000931,3.668954194620326,3.9872836039204187,URBRUR,2
historical_xgboost,1808,30282605.18058914,4.018732497230875,4.872058947075485,3.3622139668894455,3.3622139668894455,3.854564599231355,7.216778566120801,RAIL,1
global_trip_suppression_a1,1808,30282605.18058914,2.428017256697244,3.3201145068514415,-0.01693459453292036,0.01693459453292036,3.854564599231355,3.8376300046984344,RAIL,1
global_trip_suppression_a1p25,1808,30282605.18058914,2.4468973452279696,3.4871238175147523,-0.8617217353525526,0.8617217353525526,3.854564599231355,2.9928428638788027,RAIL,1
cohort_trip_suppression_a1,1808,30282605.18058914,2.445575815070332,3.323167812937854,0.19205970972317937,0.19205970972317937,3.854564599231355,4.046624308954534,RAIL,1
primary_gated_adapter,1808,30282605.18058914,2.377571516526743,3.306444938154041,-0.16965481121374132,0.16965481121374132,3.854564599231355,3.684909788017614,RAIL,1
historical_xgboost,6085,97262101.81941086,4.436994066057241,5.448035433414492,3.680832462735563,3.680832462735563,3.8248613075631774,7.50569377029874,RAIL,2
global_trip_suppression_a1,6085,97262101.81941086,2.592036593633855,3.717575122085623,0.166403681036562,0.166403681036562,3.8248613075631774,3.991264988599739,RAIL,2
global_trip_suppression_a1p25,6085,97262101.81941086,2.545818424950627,3.8194095607916,-0.7122035152966217,0.7122035152966217,3.8248613075631774,3.1126577922665555,RAIL,2
cohort_trip_suppression_a1,6085,97262101.81941086,2.5975367065658985,3.695287521147404,0.3171481184220875,0.3171481184220875,3.8248613075631774,4.142009425985264,RAIL,2
primary_gated_adapter,6085,97262101.81941086,2.5411078324045695,3.691551157137315,0.022611208608512044,0.022611208608512044,3.8248613075631774,3.847472516171689,RAIL,2
historical_xgboost,93,1600742.7281241086,4.190036292808106,4.916311054046992,3.9077316018867134,3.9077316018867134,2.9318335750363653,6.839565176923079,HHFAMINC,-7
global_trip_suppression_a1,93,1600742.7281241086,2.172548579093972,2.7059808933201936,0.7052075622187784,0.7052075622187784,2.9318335750363653,3.6370411372551437,HHFAMINC,-7
global_trip_suppression_a1p25,93,1600742.7281241086,2.00724082567429,2.6268789985252186,-0.09542344491494219,0.09542344491494219,2.9318335750363653,2.836410130121423,HHFAMINC,-7
cohort_trip_suppression_a1,93,1600742.7281241086,2.314321660951804,2.893825524557619,1.127890215921272,1.127890215921272,2.9318335750363653,4.059723790957637,HHFAMINC,-7
primary_gated_adapter,93,1600742.7281241086,2.249732423180723,2.825426390989851,0.7823914092548686,0.7823914092548686,2.9318335750363653,3.714224984291233,HHFAMINC,-7
historical_xgboost,300,7385631.213695964,4.53848906912435,5.613449083402732,4.411046527376085,4.411046527376085,1.2884819151747369,5.699528442550822,HHFAMINC,1
global_trip_suppression_a1,300,7385631.213695964,2.2236631200814343,2.8589907926673535,1.7423276364282732,1.7423276364282732,1.2884819151747369,3.0308095516030096,HHFAMINC,1
global_trip_suppression_a1p25,300,7385631.213695964,1.7971404735049565,2.3213607712214284,1.0751479053161372,1.0751479053161372,1.2884819151747369,2.3636298204908734,HHFAMINC,1
cohort_trip_suppression_a1,300,7385631.213695964,1.626461579677531,2.2348078263720272,0.7033809481198,0.7033809481198,1.2884819151747369,1.991862863294537,HHFAMINC,1
primary_gated_adapter,300,7385631.213695964,1.6721806054226938,2.298032149809568,0.7866838446786224,0.7866838446786224,1.2884819151747369,2.075165759853359,HHFAMINC,1
historical_xgboost,242,5158270.638978538,3.6735767909235877,4.568325586202922,3.3181242182829087,3.3181242182829087,1.8893913800092257,5.207515598292135,HHFAMINC,2
global_trip_suppression_a1,242,5158270.638978538,2.1341859834601324,2.9154761970272594,0.8797829674393634,0.8797829674393634,1.8893913800092257,2.769174347448589,HHFAMINC,2
global_trip_suppression_a1p25,242,5158270.638978538,1.9283719291090993,2.818587460702758,0.27019766018265634,0.27019766018265634,1.8893913800092257,2.159589040191882,HHFAMINC,2
cohort_trip_suppression_a1,242,5158270.638978538,1.8794549474903768,2.9078067860088113,0.009815117080554358,0.009815117080554358,1.8893913800092257,1.8992064970897802,HHFAMINC,2
primary_gated_adapter,242,5158270.638978538,1.8787067194437883,2.9042502264850523,0.03629322679470368,0.03629322679470368,1.8893913800092257,1.9256846068039293,HHFAMINC,2
historical_xgboost,467,8616666.685066657,3.9098364643281056,4.822928774670808,3.4289787103464517,3.4289787103464517,2.497776823413806,5.926755533760258,HHFAMINC,3
global_trip_suppression_a1,467,8616666.685066657,2.1713611038869196,3.094937321022181,0.6538641332956843,0.6538641332956843,2.497776823413806,3.1516409567094907,HHFAMINC,3
global_trip_suppression_a1p25,467,8616666.685066657,2.0048142477492377,3.0743098315396837,-0.039914517863931014,0.039914517863931014,2.497776823413806,2.4578623055498756,HHFAMINC,3
cohort_trip_suppression_a1,467,8616666.685066657,2.1828893302962356,3.2239047376364205,0.1507829021296579,0.1507829021296579,2.497776823413806,2.648559725543464,HHFAMINC,3
primary_gated_adapter,467,8616666.685066657,2.140112812945198,3.0963153957831455,0.3459375492488289,0.3459375492488289,2.497776823413806,2.843714372662635,HHFAMINC,3
historical_xgboost,552,9884379.583201796,4.468468762073294,5.495768928180631,4.019793249970088,4.019793249970088,2.8937221775899062,6.913515427559993,HHFAMINC,4
global_trip_suppression_a1,552,9884379.583201796,2.3919300201806597,3.221802424271336,0.7826431102882849,0.7826431102882849,2.8937221775899062,3.6763652878781907,HHFAMINC,4
global_trip_suppression_a1p25,552,9884379.583201796,2.2093464155280786,3.0938788892806097,-0.02664441954101228,0.02664441954101228,2.8937221775899062,2.867077758048894,HHFAMINC,4
cohort_trip_suppression_a1,552,9884379.583201796,2.3756349115937128,3.2906093628081274,0.5047912190653779,0.5047912190653779,2.8937221775899062,3.3985133966552845,HHFAMINC,4
primary_gated_adapter,552,9884379.583201796,2.3732570065124277,3.2529720205937998,0.5517096130851066,0.5517096130851066,2.8937221775899062,3.4454317906750123,HHFAMINC,4
historical_xgboost,824,13569737.559333522,4.278131228056276,5.219018451984188,3.7585807862829785,3.7585807862829785,3.0093487962796686,6.7679295825626475,HHFAMINC,5
global_trip_suppression_a1,824,13569737.559333522,2.3498521233620004,3.2342884154305787,0.5895990413387718,0.5895990413387718,3.0093487962796686,3.59894783761844,HHFAMINC,5
global_trip_suppression_a1p25,824,13569737.559333522,2.2242031470253876,3.1689622564019726,-0.2026463917614401,0.2026463917614401,3.0093487962796686,2.8067024045182283,HHFAMINC,5
cohort_trip_suppression_a1,824,13569737.559333522,2.3414854842702644,3.216141474765211,0.5501450726345131,0.5501450726345131,3.0093487962796686,3.5594938689141813,HHFAMINC,5
primary_gated_adapter,824,13569737.559333522,2.265014277044657,3.1646086755608005,0.41940052456356974,0.41940052456356974,3.0093487962796686,3.428749320843238,HHFAMINC,5
historical_xgboost,1392,21252307.49957845,4.425200856126517,5.376501250435739,3.9540463640721475,3.9540463640721475,3.3191311794933216,7.273177543565469,HHFAMINC,6
global_trip_suppression_a1,1392,21252307.49957845,2.3828426019684423,3.198963102379633,0.5484898307752228,0.5484898307752228,3.3191311794933216,3.867621010268544,HHFAMINC,6
global_trip_suppression_a1p25,1392,21252307.49957845,2.271523795253691,3.158281832609384,-0.30289930961567313,0.30289930961567313,3.3191311794933216,3.016231869877648,HHFAMINC,6
cohort_trip_suppression_a1,1392,21252307.49957845,2.4751913040418003,3.3071747111543623,0.7131772925098748,0.7131772925098748,3.3191311794933216,4.032308472003196,HHFAMINC,6
primary_gated_adapter,1392,21252307.49957845,2.3718215476882203,3.1952516818938594,0.4682367553775738,0.4682367553775738,3.3191311794933216,3.787367934870895,HHFAMINC,6
historical_xgboost,1120,16651924.971661704,3.9373581843590255,4.914411696913703,2.9304010429260794,2.9304010429260794,4.664876736389439,7.595277779315518,HHFAMINC,7
global_trip_suppression_a1,1120,16651924.971661704,2.6044566871298493,3.8442847522115104,-0.6259741097530146,0.6259741097530146,4.664876736389439,4.038902626636424,HHFAMINC,7
global_trip_suppression_a1p25,1120,16651924.971661704,2.7477515493915887,4.129138029334119,-1.5150678995609557,1.5150678995609557,4.664876736389439,3.149808836828483,HHFAMINC,7
cohort_trip_suppression_a1,1120,16651924.971661704,2.6430175872104766,3.789747213308929,-0.18832390631787202,0.18832390631787202,4.664876736389439,4.476552830071567,HHFAMINC,7
primary_gated_adapter,1120,16651924.971661704,2.603130948630247,3.838365105961481,-0.6289561605541402,0.6289561605541402,4.664876736389439,4.0359205758352985,HHFAMINC,7
historical_xgboost,890,12256706.34625848,4.555602196706703,5.515788232442065,3.454849094052443,3.454849094052443,4.668528737541171,8.123377831593613,HHFAMINC,8
global_trip_suppression_a1,890,12256706.34625848,2.7544254519060245,4.1912577476632205,-0.34880100813381004,0.34880100813381004,4.668528737541171,4.319727729407361,HHFAMINC,8
global_trip_suppression_a1p25,890,12256706.34625848,2.83537746479418,4.430779021602819,-1.2997135312649286,1.2997135312649286,4.668528737541171,3.368815206276242,HHFAMINC,8
cohort_trip_suppression_a1,890,12256706.34625848,2.826221127871085,4.135869418794292,0.1461575336393885,0.1461575336393885,4.668528737541171,4.814686271180559,HHFAMINC,8
primary_gated_adapter,890,12256706.34625848,2.7689977088255127,4.203814127869534,-0.3648449986952827,0.3648449986952827,4.668528737541171,4.303683738845888,HHFAMINC,8
historical_xgboost,611,8490208.346397549,4.381698529696394,5.302637768385783,3.359278017194345,3.359278017194345,5.383431903888491,8.742709921082838,HHFAMINC,9
global_trip_suppression_a1,611,8490208.346397549,2.841555425631406,4.057768148162469,-0.7343650715026324,0.7343650715026324,5.383431903888491,4.649066832385859,HHFAMINC,9
