method,seed,calibration_fraction,calibration_rows,test_rows,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_target_mean,weighted_prediction_mean,device
llm_confidence_pressure_a0p5,0,0.0,0,7893,3.4455200468336438,4.344200156586953,2.301490627969509,-0.1241331604704563,3.7104824729265165,4.64229200771402,2.6923368542616752,-0.2477389873223237,3.831913682179956,6.524250536441632,cuda
llm_trip_suppression_a0p5,0,0.0,0,7893,3.0495619141129686,3.9584994703113883,1.612460702191767,0.06661828749478327,3.233540220715998,4.160851867104401,1.9463162072694271,-0.002359116845906062,3.831913682179956,5.778229889449383,cuda
global_trip_suppression_a0p5,0,0.0,0,7893,3.0074301011583597,3.908227397558296,1.5027755572930417,0.090175232546712,3.2093195011680176,4.123848343331366,1.8640289318662078,0.015390080433634212,3.831913682179956,5.695942614046164,cuda
gated_trip_suppression_a0p5_d0p05,0,0.0,0,7893,3.0322032762661637,3.942621410319053,1.5749599592929755,0.07409110282481057,3.2140592606789604,4.142445578237077,1.9097344044935805,0.006489505602456314,3.831913682179956,5.741648086673537,cuda
gated_trip_suppression_a0p5_d0p1,0,0.0,0,7893,3.0151591013650556,3.9256737031326274,1.5343506799252344,0.08203419674367685,3.1955544569301404,4.120627364074898,1.871070039082479,0.0169275616066924,3.831913682179956,5.702983721262434,cuda
gated_trip_suppression_a0p5_d0p15,0,0.0,0,7893,2.977498417019627,3.8849338108473854,1.4561769239810431,0.1009882805519643,3.156505241663344,4.07703882235081,1.7910728505249631,0.03761569963809308,3.831913682179956,5.622986532704918,cuda
llm_recovery_pressure_a0p75,0,0.0,0,7893,2.909162677181709,3.8340906171519014,1.2357236857846334,0.12436552635947529,3.0775625361823047,4.0161343344176395,1.5618198202435223,0.06615392507539908,3.831913682179956,5.393733502423478,cuda
global_recovery_pressure_a0p75,0,0.0,0,7893,2.878796492404112,3.7936031821395226,1.2176052806407207,0.14276102734356722,3.0558914345915853,3.9773330372541325,1.565424412778464,0.08411119401947009,3.831913682179956,5.39733809495842,cuda
llm_confidence_pressure_a0p75,0,0.0,0,7893,3.20359418376557,4.104716791503561,1.8694381246300364,-0.003608893623926024,3.4313773565687296,4.357206080983744,2.2359134268251792,-0.09919574345088522,3.831913682179956,6.067827109005135,cuda
llm_trip_suppression_a0p75,0,0.0,0,7893,2.7178203087079273,3.672852086788526,0.8358932359634238,0.19646465856154383,2.8250925011637977,3.7866792408589847,1.1168824563368065,0.16981310519483617,3.831913682179956,4.948796138516763,cuda
