subgroup_column,subgroup_value,method,rows,weight_sum,weighted_mae,weighted_rmse,weighted_bias,weighted_target_mean,weighted_prediction_mean
HHVEHCNT,4,random_trip_suppression_a1p25,360,6251993.794303581,3.629111836472977,5.380489141599408,-1.8654641371060834,6.152551673807586,4.2870875367015016
HHVEHCNT,5,historical_xgboost,122,1810760.2076290352,5.3879673557152445,6.841340435199427,4.123395240142872,5.991506225614174,10.114901465757047
HHVEHCNT,5,llm_trip_suppression_a1p25,122,1810760.2076290352,3.65931067838809,4.902550985061968,-0.40962122944139523,5.991506225614174,5.5818849961727794
HHVEHCNT,5,global_trip_suppression_a1p25,122,1810760.2076290352,3.7593050044146086,5.132810263144994,-1.7967938074250234,5.991506225614174,4.194712418189151
HHVEHCNT,5,random_trip_suppression_a1p25,122,1810760.2076290352,4.011615152588653,5.368870529195929,-1.6283222377772195,5.991506225614174,4.363183987836955
HHVEHCNT,6,historical_xgboost,44,781712.3564872922,6.190891468691924,7.052640569018159,5.941941282802589,3.9052020871669013,9.84714336996949
HHVEHCNT,6,llm_trip_suppression_a1p25,44,781712.3564872922,2.882250912115971,3.451301029384716,1.5954393612618967,3.9052020871669013,5.500641448428799
HHVEHCNT,6,global_trip_suppression_a1p25,44,781712.3564872922,2.2863089701044306,2.957945321968429,0.17846938680019153,3.9052020871669013,4.083671473967094
HHVEHCNT,6,random_trip_suppression_a1p25,44,781712.3564872922,2.8157552065812386,3.4401254907441037,0.7057204609838796,3.9052020871669013,4.610922548150781
HHVEHCNT,7,historical_xgboost,13,230253.06764820736,6.282300124017392,7.520717687962623,6.1157827299480925,4.301443804534238,10.417226534482333
HHVEHCNT,7,llm_trip_suppression_a1p25,13,230253.06764820736,2.9780775915528954,3.5707514145245494,1.456381150686004,4.301443804534238,5.757824955220244
HHVEHCNT,7,global_trip_suppression_a1p25,13,230253.06764820736,2.9734074854843815,3.378869549249783,0.018644696101695595,4.301443804534238,4.320088500635935
HHVEHCNT,7,random_trip_suppression_a1p25,13,230253.06764820736,3.4107222729594984,4.261382160323366,-0.5676859191358755,4.301443804534238,3.7337578853983633
HHVEHCNT,8,historical_xgboost,7,101909.20710630364,6.708089524467294,9.167265801506588,6.252721248966921,5.357525596174063,11.610246845140983
HHVEHCNT,8,llm_trip_suppression_a1p25,7,101909.20710630364,4.361473707243301,5.239734472333072,0.7316190576284884,5.357525596174063,6.089144653802552
HHVEHCNT,8,global_trip_suppression_a1p25,7,101909.20710630364,4.38956850520279,5.1904792635880925,-0.5426841679675017,5.357525596174063,4.81484142820656
HHVEHCNT,8,random_trip_suppression_a1p25,7,101909.20710630364,3.225008368562836,3.9453768524883333,-1.6580589192900126,5.357525596174063,3.6994666768840507
HHVEHCNT,9,historical_xgboost,1,12447.2301040471,4.38224983215332,4.38224983215332,4.38224983215332,3.0,7.38224983215332
HHVEHCNT,9,llm_trip_suppression_a1p25,1,12447.2301040471,1.5216280221939087,1.5216280221939087,1.5216280221939087,3.0,4.521628022193909
HHVEHCNT,9,global_trip_suppression_a1p25,1,12447.2301040471,0.061464824935952844,0.061464824935952844,0.061464824935952844,3.0,3.061464824935953
HHVEHCNT,9,random_trip_suppression_a1p25,1,12447.2301040471,1.4293498992919922,1.4293498992919922,1.4293498992919922,3.0,4.429349899291992
HHVEHCNT,11,historical_xgboost,3,130732.34669552345,6.156874195041305,6.22008293990831,6.156874195041305,2.9254639045107442,9.082338099552048
HHVEHCNT,11,llm_trip_suppression_a1p25,3,130732.34669552345,2.169085596970562,2.1792422523371893,2.169085596970562,2.9254639045107442,5.094549501481306
HHVEHCNT,11,global_trip_suppression_a1p25,3,130732.34669552345,0.8410380768836947,0.9155178401485142,0.8410380768836947,2.9254639045107442,3.7665019813944394
HHVEHCNT,11,random_trip_suppression_a1p25,3,130732.34669552345,1.3463242357659573,1.4424817007896502,1.3463242357659573,2.9254639045107442,4.271788140276702
HHVEHCNT,14,historical_xgboost,1,9225.77881469857,10.74520206451416,10.74520206451416,10.74520206451416,0.0,10.74520206451416
